I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality in free text."
Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,"Some of these words include savvy, risk-taker, observant, energetic, creative, and organized. Others include courageous, honest, driven, result-oriented, positive, orderly, methodical, and adventurous, among others"
Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,"I am very relaxed, and very happy even in hard times. Sometimes it gets me into trouble because I should be more concerned or stressed about something, but my personality is to just go with the flow. I care about people a whole lot. If I care about you even a little bit, it's almost the same as me caring about you a lot. If you need somewhere to stay, or something to eat or even if you need money, I'll do my best to take care of you. I very much like to help people to be comfortable. "
Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,I am an empathic person sometimes to a fault. I tend to put others needs/wants/desires above my own to the point that I don't always know what my needs/wants/desires actually are. I tend towards anxiety and depressed moods with mood swings a probable event. I work in a helping profession and enjoy assisting others but rarely take care of myself without taking care of others first. I enjoy being alone when I become overstimulated around others.
Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,"Im the person that easily annoyed with some things or in people, but i always cared with my family member specially my parent because i'm a perso who is a loving child to my parents or family member. I seldom talk to other people i just talked to them when iam in the mood but i think im a good listener to other people problems i sometimes give my advice to them specially my friend. And i think iam a person who is a little bit imagenative with some things because i always want to read a fanfictions novel and book    but i always prepared to be a good and honest kind of people."
Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,"I am someone who is typically quite shy; an individual who doesn't really have much of a big personality in terms of speaking with strangers and joking around. I often only feel at ease with people i am familiar with, such as family members. At work and parties i have to force myself to be more cheerful, so i don't seem awkward. However, once i get comfortable, i can be quite extroverted and friendly with others - often joking around and doing silly things. I love to try new things; especially eating new food and visiting unique places. "
Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree," am very punctual and want to do all my work at the right time. I like to eat plain and healthy food. I enjoy dancing, reading books, playing badminton and cooking in my spare time. I never leave my classes and also attend every class."
Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"I'm a shy, loving person, who is extremely creative and enjoys coming up with new ways of doing things. I am very sweet and caring. My personal relationships are the most important things in the world to me. When it comes to my flaws I have an anger problem that I've been working on. 
I have depression which makes me low energy and less social. But I really do love talking to people I just don't have a lot of personal charisma or incredibly strong social skills. 
I do like the way I am though. "
Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,"I am an introverted and lonely person. I consider myself above average .honest and intelligent. I am reliable and meticulous at work. I am absolutely not sociable, but at the same time I am extremely sensitive and sympathetic."
Agree,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,"I frequently switch between outgoing and talkative to quiet and introverted based on my mood. I am sympathetic and compassionate, often treat others better than myself. I get frustrated easily. When I am frustrated with myself I am very angry. When I am frustrated with others I am very quiet as to not offend or hurt other's feelings. I am anxious about meeting new people. I care too much about how strangers may think of me. I care too much about how friends and family think about me. I am either very proud or very ashamed of my actions or accomplishments."
Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,"I would describe myself as someone who tries their best to stay mindful of all that is going on, accepting what there is and working with what I have. Even at the worst times, I try my best to keep a positive outlook and do whatever I can best with my situation. I am not always positive, but I know that feelings are like waves. So when I am down, I try my best to remember the positives in my life that I have. "
Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,"I am a very quiet and anxious person who opens up as you get to know them more. I am usually judgmental, sarcastic, and truthful. Around strangers, I am mostly silent, paying attention to a book or a word search. Around friends I am very loud and talkative, always having something to say. I have mood swings and get irritated fairly easily. However, I don't let people know I'm upset with them. I like listening to music and hearing the opinions of people I care about. "
Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,I'm very outgoing and like to have fun but can also be very serious and driven. I used to be much more careless but the older and more mature I get the more I realize things need to be taken more serious. I can be confused in terms of life itself however I am optimistic and usually feel that things will be all right in the end. 
Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,"Calm, calculated and reserved. Once approached, very friendly. Tend to talk a lot to get more information out of people to find common grounds"
Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,"I am a person that's often in the background while also not wanting to be in the background. I have a very wide selection of hobbies I enjoy doing and I love sharing my experience in those hobbies. I have a loving girlfriend and she keeps me sane. My friends describe me as extremely knowledgeable in technology, whenever one of them need help with anything, I'm always ready to jump on the task and figure out the issues."
Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,"I am withdrawn, because I feel that I have to put on a performance around most others. I am contemplative, because I like the feeling of a wandering mind. Patience is one of my virtues, except when a deadline looms. While I usually stifle the urge to confront, I am forthright when it is apparent that silence is detrimental. I am usually unsentimental and dispassionate. I am rarely certain of anything; qualifiers lurk in my sentences, carving out a precise, but porous husk. "
Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,My personality could be described as quiet  compassionate person able to quickly identify the problems in any situation and provide solutions for it so i guess i could be called problem solver . I am quick to anger if I see unjust behaviour or unfair treatment of people. I enjoy peaceful environments and I am more likely to listen than to talk
Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,"I like to look at myself as a genuine, thoughtful young lady. I’m a hard worker; I believe nothing is ever handed to you so you have to go get it. I worked hard to get to this point of my life and working even harder to get to the successful and graduate part of my life. I care more for some others than I do myself but I have a huge nonchalant attitude. I don’t really show anger or sadness much I always smile because I’m optimistic about life. I look at life as if something bad comes along, no need to dwell on it you can’t take it back so just move-on and improve what you did wrong if it’s possible. I was taught to be caring and thoughtful; I wasn’t taught anything else from anyone other than not to trust people. I’m the odd ball of my family because I am nothing like anyone. I can say I was also taught to believe in myself and never down myself because I can accomplish anything. That is shown through my determination and hard work because if I didn’t believe in myself I wouldn’t try as hard.  Last but not all, Humanistic approach sums up my personality a little more than psychodynamic does because it involves nature vs. nurture and that kind of sums it up just saying that. Environment and Heredity is kind of the main reasons of my attitudes and actions. In the article, Time-Limited Psychodynamic Psychotherapy, Briggs conducts different forms of psychotherapy techniques to prove whether things in an adolescent’s life effect different adolescents differently. His study was a success and proved that many adolescents have different interpretations on the same issue. He read them off different problems and wanted to see how they would interpret them. He used children in the age groups of 12-17 and it worked out. I think that the different approaches can be brought together in some circumstances but in my case it doesn’t. My personality makes more sense coming from the humanistic approach."
Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,"Overall, I'd say im an extroverted young man who depending on the situation, reacts accordingly. There are obviously times where I have more to say, along with less. I can say that from a personality standpoint, I have a strong ethic to get things done in a timely and efficient manner. Especially, regarding work situations. If I'm not producing I tend to stress myself out which can be both good and bad. Overall, I would say I am pretty content and grateful for what I have in my life. Wish the best for my people and loved ones. "
Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,"I am a rather deliberate and thoughtful person and can definitely be described as ""zen"" when compared to many people. I am put off by people who seem to shield their true selves and keep other people away. While I don't like talking to people on a surface level there is nothing I like more than getting to know people on a deeper level. And I suppose this is true in that I want people to understand me rather than know me on the surface."
Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,"Honestly I would rather be left alone 90% of the time becuase I hate trying to fit in with others and failing at it. the problem is I also want to be accepted and have people to talk to, play games with or otherwise be with. Most times relationships I have fall through because they get stagnant and I lose interest or run out of ideas to make it work and the other person or people see me as lazy or not trying. The problem with that is I don't know how to talk to people about that and it causes it to look like I am the problem"
Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,"I am quiet, kind, and creative. Though I'm shy around people, I genuinely do like them. I don't like conflict, injustice, or cruelty. I do my best to make sure everyone is happy and I'm super open-minded/accepting of all sorts of people. I love animals, art, music, poetry, and nature. I feel like I'm both young-spirited and an old soul at the same time. I think my fashion sense is a bit quirky and my Myers Briggs type is INFP. "
Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,I am dedicated to what I like and I love talking about it a lot. I like to work hard to not disappoint anyone. I am a people pleaser sadly but i dont like to socialize much. Procrastination is one of my main problems along with depression.  I hate being alone but I also dont like being around to many people. I have a lot of goals and I want to learn how to do as many things as possible. I love too muc sometimes and it end up hurting me. I act tough but I'm soft. I love rock but I can listen to many different genres of music. I prefer dogs over cats mostly cause I'm allergic to cats. My mom raised me pretty spoiled so now its difficult for me to do things on my own.
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,"I am both simple and complex. I am like everyone but uniquely me. Beauty captivates me and I see it everywhere. I love people and cherish my time alone. I am good at many things and great at none. I love my home and have a constant urge to travel .I am both very practical and very creative. I am friendly with many people but friends with few. Those I love, I love fiercely."
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,"A lover of science and technology to use that for creating art, with passion for poetry, photography and travel. Interested in knowing the economy and finances that govern international, national and individual portfolios. An engineer with interest to solve problems of day to day life, innovating tools to make life a lot more simpler. A millennial who loves to live life every day and having great joy to learn from younger people."
Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,"I am not what I am seen to be but what I see myself as. For some people, I may be just a mingling of bones and tissues and for some, the outcome of air, water and earth. If I have to describe myself myself, I am a part of a simulation of a system that I am unaware of. I do not know if this is all real or some fake psychodelia, but that is how I perceive myself. Caution: Please do not talk to me unless either you are comfortable talking to me or I am to you."
Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,"I am often quiet until I am comfortable in my surroundings. I am a loyal friend, honest, compassionate,  and believe that a man is only as good as his word. I like to sing even though I'm not good at it. I love dogs but I have a cat. I don't like to clean but I love a clean house. I don't wear make up every day. I like to laugh and make others laugh. "
Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,"I am very sweet and nice person ,While personality determines what you think and how you behave, personality disorders are marked by thoughts and behavior that are disruptive and distressing in everyday life. Someone with a personality disorder may have trouble recognizing their condition because their symptoms are ingrained in their personality."
Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,"At one point, I was a hot-headed unmedicated ADHD, anxiety, and depression ridden person who meant well, but frequently lost control of his emotions.

After getting on medication for those three conditions, I feel I have made significant progress in being kinder, more patient, and in controlling my emotions. I try to go out of my way to do the right thing and be more empathetic and relaxed, but I still have more work to do."
Disagree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,"I am a relatively shy person. I enjoy talking to people 1 on 1 but I don't enjoy group situations. I am pretty depressed on a regular basis, but I try and keep a positive outlook. I would say that I am a nice person, but I can occasionally rub someone the wrong way. I am often thinking about things but I seldom speak these ideas freely to other people, mostly due to my shyness. I enjoy being social, but I do not enjoy being social in group settings due to my anxiety."
Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,"Iam pretty and easy-going and well social behavoiur. I love to crack jokes, to make people laugh. At work, I’m the guy that gets along with everyone. And I feel good knowing other people are comfortable around me. The downside of being that guy,the life of the party guy is that people think I can’t be serious. Iam not afraid my boss might think that actually. But when I need to, I can be very focused, i will give oppurtunity to evry person ."
Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,"I am a very easy going person but at the same time straight with my personal life. Very friendly and humorous, happy even if my world is coming down or going to a difficult situation. Profesional, honest and very very responsable.  Family oriented. Introvert and extrovert too. I like to go far and beyond on everything I do in my life; dreaming knowing that one day I would accomplish all of them."
