I am the life of the party.,I feel little concern for others.,I am prepared.,I get stressed out easily.,I have a rich vocabulary.,I don't talk a lot.,I am interested in people.,I leave my belongings around.,I am relaxed most of the time.,I have difficulty understanding abstract ideas.,I feel comfortable around people.,I insult people.,I pay attention to details.,I worry about things.,I have a vivid imagination.,I keep in the background.,I sympathize with others' feelings.,I make a mess of things.,I seldom feel blue.,I am not interested in abstract ideas.,I start conversations.,I am not interested in other people's problems.,I get chores done right away. ,I am easily disturbed.,I have excellent ideas.,I have little to say.,I have a soft heart.,I forget to put things back in their proper place.,I get upset easily.,I do not have a good imagination.,I talk to a lot of different people at parties.,I am not really interested in others.,I like order.,I change my mood a lot.,I am quick to understand things.,I don't like to draw attention to myself.,I take time out for others.,I shirk my duties.,I have frequent mood swings.,I use difficult words. ,I don't mind being the center of attention.,I feel others' emotions.,I follow a schedule.,I get irritated easily.,I spend time reflecting on things.,I am quiet around strangers.,I make people feel at ease. ,I am exacting in my work. ,I often feel blue.,I am full of ideas.,"In between 75 and 150 words, please describe your personality as it relates to the 5 personality traits outlined above. Be sure not to use the name of the personality traits themselves in your response."
Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,"My personality as it relates to the traits above would be that I am not quick to make friends and agree with everyone.  I am not a loud person who likes to meet and talk to people immediately, but I take my time to get to know people and then decide later on if I can trust them.  I'm not incredibly organized but I am not disorganized either.  I like a clean house but at the same time I don't wash dishes every single day.  I tend to get depressed at times but I don't let it overwhelm me and I try to get things done even in that state of mind."
Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,"I'm a lot older and slower than I used to be. When I was young I was extremely adventurous and lived life on the edge. I was always taking off with just a few dollars in my pocket, going across country, or even abroad to other countries. Now I've slowed down a lot. I crave stability and security, but I don't have it. I'm tough, and able to deal with all the crap life throws at me, but I don't want to just survive anymore. I have a vast imagination, I'm creative, intelligent, and I have a lot to give. I care about others deeply, but I'm disappointed in myself for not being able to care for others the way I would like to. I'm very truthful, and I value honesty a great deal. I am, however, quite disorganized. I dislike the fact that you equate messy people with being cheaters, that's pretty rude. I tend to talk a lot. I'm just as comfortable being alone as I am with being with people, but I do love to engage with others, whether in person or online. "
Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,"I like to be with people and I try to be as nice to them as possible.  I am never loud or crude in my interactions with others.  I like to let them talk while I listen and vice-versa.  I think it's important to let people express what they need to and I usually sit back and let them speak their mind.  Once they are done, I like to offer my advice.  Sometimes, they may not like what I have to say; but they listen nonetheless.  It's important to respect people because they can teach you alot.  You want to make sure to listen to them and see if they can offer you any advice - whether it's good or bad.  Sometimes bad advice can be just as good (or even better) than good advice."
Disagree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,"I am a very agreeable type of person, I always strive to have everyone at least be civil to each other.  I am in between an extrovert and an introvert, depending on the day.  I am very conscientious, I always give my best at a job...or anything that I am being paid to do. I am open to new experiences, moreso when I was younger.  "
Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,I am a very social person I am able to talk to lots of people.. My work makes it so that I have to be very very open and able to change how I change how we interact with people daily. I really care about people and want to do what I can to help them it is always my priority to help others no matter what. I like to be kind and friendly and always try to see the best and everyone in every situation. I think it's best to be honest and authentic with people even if it's not always what they want to hear. I am always willing to hear new opinions and change my own if I get new information.
Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,I prefer to be alone or with few people. Crowds are very stressful for me. After a party I am exhausted beyond measure and feel like I could sleep for days and desire to be alone. I tend to go with the flow as to not cause or create conflict or create work for others. I will keep my opinions to myself most of the time. I tend to be mostly honest unless I feel like it is going to create stress or drama. I like to feel as if I have earned my keep and so will go above and beyond in my daily duties at work and at home. Less so at home. I will delegate chores to the kids often. I have obsessive thoughts of dying or someone I love dying so I am in constant stress and anxiety but also I am very positive person and optimistic which is odd I think to be so worried all the time. I am not overly adventurous but do like to visit new places and always seem to be looking for something new to get in to or attempt. 
Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,I do like being around close friends and family but I also enjoy some time alone as well.  I prefer to get along with others and will sometimes give in and do things I might prefer not to do within limits.  I like to be honest because I want others to be honest with me.  I am not an overly emotional person.  I stay sort of in the middle without getting too excited or too sad about things.  If I do get emotionally unbalanced I usually return to middle ground fairly soon.  I don't seek thrills and adventures but I do like daydreaming and have an active imagination with lots of creativity.
Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,I prefer to keep to myself. People bother me. I have a few friends and folks I care about and would help if they need help. But I prefer to keep to myself. I've learned that the hard way. People don't need me around. I can get upset easily but am trying hard to work on that. Things will work out one way or the other as long as I do the best that I can. I do like to keep working and be busy most of the time. I like order and things where they belong. I do like to organize but then can't find where I put the things I'm looking for so that can be fun. Folks don't deserve to be treated rudely unless they do something to really offend me. But I will not do something that I don't want to do just because some stranger asked me to do it. Yesterday I had an experience of going to the state park and going up to the lookout point. I took pictures but could not get as close to the ledge as the fence would allow because I have a fear of heights. Not open to that.
Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,"I feel I am a person who is outgoing and likes to socialize with other people. I am foregoing in telling others how I feel about certain things and am truthful and honest. I have high morals and live according to Biblical principals. I do my work diligently, am a faithful, hard worker and have pride in what I accomplish. I experience different emotions in light of the situations I am in at the time. I can be elated and happy when something good happens, and can be sad when a tragedy occurs. I am somewhat closed minded in trying new things and feel more comfortable in doing the same things that I know have worked in the past. I do not like to take risks for fear of being hurt or at a financial loss. "
Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,"I am a person who tends to focus on work and proper schedules. I am more inclined to work life balance and myself along with the family tend to do social services than enjoying our free time. Infact, to say as free time, we fix up schedules to do social services. I enjoy adding new friends on every meeting or get together, which in person, helps me to improve my knowledge and understand the society. My husband is very adjustable person, which helps to persue my preference."
Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,"Self-discipline is most important to me because it is an inherent part of my personality. I have an extremely high level of diligence. I want to be perfectly organized and diligent in everything that I do. There is no room for error. Independence is also important to me as another consequence of diligence. Because of my strong work ethic, I believe that I can accomplish most things on my own. Thus, I feel that it is unfair that others are allowed to be dependent on more talented and successful people. Finally, having money matters to me so that I can uphold my desire for reliability. I do not ever want to be in a situation where I cannot take care of myself. With enough money, I do not have to worry."
Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,I tend to get along with everybody. I don't have a problem striking a conversation. I try to keep the peace and don't pick arguments with others. I was raised to be hardworking and will work until the job is done. I am open to new experiences. I like studying many subjects and like trying new and complicated crafts.
Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,"I am a hardworking, humble individual who enjoys assisting others. I am a well-organized individual that is enthusiastic about my work. People are at ease in my presence and easily socialise with me.I am a goal-oriented person who is always checking in with the objective to see how near we are to achieving it and what it will take to get there. I am good at time management and can foresee people's moods and other things. I'm well-disciplined, keen to learn new things, and good at coming up with fresh ideas."
Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,I like to get work done right away just to get it done and over it most of the time. I rarely like to do things I am not familiar with because I tend to lean towards a more routine lifestyle I like order and knowing what to expect from my day. I also can be somewhat of an emotional person who wears his heart on his sleeve at times. I like things done my way I am not really open to changing my mind on things I agree on.
Neutral,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,"My personality is a product of my family in some ways. I can crack jokes and have good comedic timing, and used to go to a Comedy Improv Jam group, to practice comedy. While I can be extroverted, I am more introverted socially, in that I have confidence to perform on stage, yet prefer not to perform much these days. 

After 10 years of therapy, I have a mature understanding of my emotional home, and while a passionate person, I have many techniques to manage strong emotions, when they arrive, taught by professional counselors. 

I have survived as an independent contractor for over 15 years, which takes a level of hard working consistency. I've lived at this same home for 7 years now, and like stability overall. 

I tend to be independent, and while will work with others, I am capable of standing my own ground, and constructively engaging in conflict when necessary. "
Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,"I am extremely shy and don't know how to interact with people outside my immediate family. I try to pretend to be normal and not mean. I want people to be able to depend on me, I want to be someone my family can trust.. I'm usually depressed and anxious, I don't know how to deal with stress and I get freaked out when I don't have control of a situation. I can't stand going into something when I don't know what to expect."
Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Agree,"I prefer to keep to myself and need lots of alone time. It wears me out to spend too much time with other people. I also dislike having to conform to a group's needs or desires. I like to do things my own way, in my own time. Rules make me happy, for the most part. I thrive with a bit of order and I'm good at setting my own schedules. Chaos gives me anxiety. I tend to have emotional reactions to the world around me and life in general. People would describe me as moody. That said, I take great pleasure in having new adventures, pursuing new hobbies, and dreaming up new possibilities."
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,"For the most part I prefer to have a lot of quite time alone. I tend to treat others with respect as I believe that everyone is deserving of that. I am honest with people for the most part, but I am not hardworking. My home is typically a mess as I simply forget to do things that I'm supposed to do. Most of the time I do not deal with stress very well at all and I can react very emotionally to some situations. I prefer some structure in my life, but not so much that I cannot decide what I can or can't do. I find myself daydreaming quite a bit, sometimes on a maladaptive level."
Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,I prefer to do things by myself rather than with other people. I try not to ruffle feathers or argue with others at all because I feel like that's not worth the stress at all. I do my work when I need to and pay attention to the details so that I get things as close to perfect as possible. It frustrates me when things are not going well or I hit snags during a day. I spend a lot of time imagining ways my life can be better but I also try to enjoy things right now. I am a writer and artist so creativity is important to me.
Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,"My personality tends to be fairly even, I don't experience elevated emotion very often and I try not to let myself get too down. I've been through enough negative experiences in my life that I know there's always a solution to any problem and that it's critical to stay focused and positive even things seem hopeless. I like to trust others, but I'm not surprised when they fail to do what I expect that they'll do. I enjoy working, I work full time and have a side job as well. I try to make as much time for my family and friends as I can and help them when they need help. I have strong opinions for what I want and believe but I'm flexible in my opinions when I'm with a group and will go with what the majority would like. "
Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,I am interested in being social and also like to work on projects alone and it depends on my mood and the situation. I will try to make others happy within reason but not at the expense of my personal well being. I try to be honest and work hard. I don't like stress. I like to learn new things and go to new places.
Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,"I am sometimes extroverted and sometimes introverted. It really depends on how comfortable I am. Also, sometimes I talk when I am nervous. I am very much in between the two sides. I can be agreeable. It just depends on how strong I feel about something. If I feel that someone is dominating me too much, I will become disagreeable. It just depends. I am very conscientious, I like to have rules to go by. I try my best to be honest. I work very hard. I know, though, that in this world there are times when the rules are not know or have changed. I try to be flexible as well! I am not very neurotic. I do have emotions, so it just depends. I like to be happy! I don't get depressed or even sad that often. I am very open to experience. I like to try new things. Sometimes I get stuck in a routine, however, I have learned to pull myself out of that routine for the most part. I am still learning how to enjoy new things more though."
Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,"I love meeting new people and talking to the people I know. I don't mind changing my attitude or disposition to match the situation around me and be in line with the group. I like to keep things in order in my life, both physically and mentally. I try not to overreact to situations and take a calm and collected view of problems that may arise so I can better handle them. I want to be part of this world in every shape and form, and am willing to go out of my way to better myself through learning and personal fulfillment."
Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,"I can be quiet and cautious, but I am also inquisitive and full of questions and ideas. I work well with one or two others, but prefer working alone.  I am not one to molly coddle or beat around the bush. I like to be a ""straight shooter"". I'm a person who likes a clean house, but I'm not crazy about having a impeccable house. You might find my jacket thrown over the bannister, or shoes by my recliner. I'm content, but have my ups and downs, sometimes I feel down and discouraged, but I bounce back. I love new things and I love to learn. I have a great imagination and I love traveling and adventure."
Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,"I am constantly seeking new experiences and ideas, but I usually do so alone. I try my best to be a good person, work hard, and be pleasant or at least non-offensive to people. I remain calm most of the time. It takes quite a bit to get me worked up."
Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,"I'm turned inward in general, but I can be outward facing when forced to around other people. However, it wears me out, and I have to get away soon after and go re-energize by myself because it wears me out. I generally enjoy being by myself or with one other person only.  I do prefer making sure my home is picked up and nice, but I have ADHD and struggle with it greatly, unless I am on my medication. When the meds wear off, the ADHD is back again until the next scheduled time to take it. I do NOT try to take care of others, and I do try to follow rules. I do get really nervous in many situations, but I try not to let on. I like to do my own thing"
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,"I am a person who is fulfilled by my inner world and does not need to seek that from sources outside of myself. I prefer to spend time alone rather than with a lot of other people. I am always kind to others and consider the feelings of others almost to a fault. I never want to hurt anyone or make them feel bad by something I say or do. When I do anything I want it to be perfect and I am not satisfied until it is. I like things to be clean and organized and I feel it is important to follow rules and do things that are expected of me. I tend to be very emotional and overreact to situations a lot of the time due to being very emotional and having a lot of feelings. I worry too much about everything and my feelings are easily hurt. I love to learn and seek knowledge whenever I can. I am a creative person, but I also really need structure and to stick to a routine."
Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,"I am not a very social person.  I do have my core group of friends, but I do not do well with strangers.  I am not a risk taker.  Although I am extremely imaginative, I do not want to jump out of airplanes on my lunch time.  I like a clean and orderly house.  I believe that everything has it's place.  I can be high strung.  I worry about a lot of different things all of the time.  Sometimes I can't sleep because I let things get to me.  I tend to go with the flow in relation to other people.  I have my opinion, but I only express it when I feel it is safe to do so."
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,"extraversion (also often spelled extroversion), agreeableness, openness, conscientiousness, and neuroticism. "
